estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1
RJ,330500,SAO JOAO DA BARRA,166,797770,33240.416666666664,19.945739110985027,13.39791200962178,61.10358385802715,24,0,20.80800230642917,5.117993812416755,3.0822769807148633
RJ,330510,SAO JOAO DE MERITI,9864,10853509,452229.5416666667,90.8330166218551,89.5242349605081,104.64971777279239,24,0,90.88304989658184,9.196748418456716,4.520516571616754
RJ,330513,SAO JOSE DE UBA,35,166317,6929.875,21.139464983255717,21.325422981788222,70.72135785007072,18,6,21.04415062801758,3.58351893845611,3.0930472890595917
RJ,330515,SAO JOSE DO VALE DO RIO PRETO,100,498094,20753.916666666668,20.316159325871453,19.198760952553265,39.89428015758241,23,1,20.076531738989026,4.61512051684126,3.0481601816259043
RJ,330520,SAO PEDRO DA ALDEIA,784,2135928,88997.0,37.18006190455336,36.29786533422967,57.68792175907914,24,0,36.70535710941567,6.665683717782408,3.6298021827519333
RJ,330530,SAO SEBASTIAO DO ALTO,74,201713,8404.708333333334,36.53895539031251,29.66551725267358,117.67474699929394,22,2,36.68578624084714,4.31748811353631,3.6292830005738037
RJ,330540,SAPUCAIA,148,421513,17563.041666666668,35.08232421707657,36.95160619304319,69.64596633778294,24,0,35.11160984358727,5.003946305945459,3.5866144159513325
RJ,330550,SAQUAREMA,859,1813410,75558.75,46.646514800331204,45.169704833121145,71.34239101925196,24,0,47.369320782393395,6.756932389247553,3.8788657446108794
RJ,330555,SEROPEDICA,1009,1843055,76793.95833333333,55.51667916453528,46.08273597719328,127.3956685472694,24,0,54.74606020981468,6.917705609835305,4.020806738960817
RJ,330560,SILVA JARDIM,158,513033,21376.375,30.832325907925853,32.786117582966696,56.20345651257552,24,0,30.797239163952415,5.0689042022202315,3.459379467273531
RJ,330570,SUMIDOURO,72,357635,14901.458333333334,20.105461751038664,19.742768548845962,39.92812936713915,20,4,20.132257748822123,4.290459441148391,3.050800676313722
RJ,330575,TANGUA,289,721555,30064.791666666668,40.37022483045879,39.28449240507919,89.11663139133341,24,0,40.0523868589366,5.66988092298052,3.714848979370962
RJ,330580,TERESOPOLIS,1535,3839816,159992.33333333334,40.16695505157784,37.40190785369263,64.39420452159305,24,0,39.97587384395502,7.336936913707618,3.7129834506735113
RJ,330590,TRAJANO DE MORAES,39,246440,10268.333333333334,15.94463074691467,9.713924934275667,99.37394415184338,17,7,15.825353027105988,3.6888794541139363,2.8228868576052273
RJ,330600,TRES RIOS,1147,1847181,76965.875,61.84322361697736,59.70053973982269,103.69194531209996,24,0,62.094618773146756,7.045776576879511,4.144635484977844
RJ,330610,VALENCA,512,1671861,69660.875,30.70181906849706,27.106260800817907,50.71875724553675,24,0,30.62455551029661,6.240275845170769,3.4539338919385276
RJ,330615,VARRE-SAI,8,226554,9439.75,3.5155360599545395,0.0,20.848535390388825,6,18,3.5311669624018998,2.1972245773362196,1.5109795139140418
RJ,330620,VASSOURAS,452,811493,33812.208333333336,56.18553533548934,53.87856539664875,109.29985634876023,24,0,55.69980270932712,6.115892125483034,4.037770731174339
RJ,330630,VOLTA REDONDA,4051,6174986,257291.08333333334,65.16435713742543,64.31240750978796,110.8902685156052,24,0,65.6033876028221,8.306965865368573,4.1987554411600065
SP,350010,ADAMANTINA,129,818748,34114.5,15.749560568173175,14.840321117944594,34.820962219255996,24,0,15.755763678201353,4.867534450455582,2.8187422992733078
SP,350020,ADOLFO,17,92716,3863.1666666666665,18.07615638244288,0.0,82.01202843083652,11,13,18.335562362483284,2.8903717578961645,2.9619460098436012
SP,350030,AGUAI,211,753910,31412.916666666668,27.918917412189938,25.740797954311688,57.77183167112624,24,0,27.987425554774443,5.356586274672012,3.366862134394633
