estado,cod_mun6,municipio,casos_acumulados,pop_pessoa_ano,pop_media,incidencia_media_anual,incidencia_mediana_anual,incidencia_max_anual,anos_com_casos,anos_zero,incidencia_periodo_100mil_pessoa_ano,log_casos_acumulados_mais1,log_inc_periodo_mais1,inc_raw,inc_eb_global,inc_eb_spatial,reducao_%
SP,354770,SANTO ANASTACIO,158,471075,19628.125,33.307972848238585,30.562488986070605,63.49206349206349,24,0,33.54030674521042,5.068904202220232,3.5421269535479576,33.54030674521042,33.690896794442345,33.6360949694953,0.28559137819620484
SP,350550,BARRETOS,910,2746571,114440.45833333331,33.11190437366101,32.7259703416063,51.34281200631912,24,0,33.13222195967263,6.814542897259958,3.5302418636320008,33.13222195967263,33.15901453072523,32.98824791336461,-0.43454389048599623
SP,350390,ARUJA,605,1827176,76132.33333333333,33.312295401973664,33.0849318083247,49.508218364248464,24,0,33.111205488688555,6.406879986069314,3.529625937016521,33.111205488688555,33.15149997436957,36.030765311886704,8.817437420680829
SP,353090,MOMBUCA,27,81619,3400.7916666666665,32.22573748508744,28.076531956534645,114.71178663607684,14,10,33.08053271909727,3.332204510175204,3.528726333267856,33.08053271909727,33.93480297694361,27.018862092890057,-18.323981290385426
SP,350750,BOTUCATU,1033,3124851,130202.125,32.79698692494668,30.5050224153733,63.15172201213416,24,0,33.05757618523251,6.941190055068375,3.528052509614617,33.05757618523251,33.081249291011446,32.979054277524824,-0.23753074716580755
SP,354780,SANTO ANDRE,5541,16764577,698524.0416666666,32.979465976518604,32.73545051332567,40.3124138780249,24,0,33.051833040583126,8.620110725422924,3.5278838649375226,33.051833040583126,33.05625303855444,33.09424867279217,0.1283306500942382
SP,351960,IBITINGA,429,1306076,54419.833333333336,33.052020060234064,30.74851960427346,55.512599377465854,24,0,32.846480602966444,6.063785208687608,3.5218350235827227,32.846480602966444,32.90379621885131,32.58076841261735,-0.8089517825696512
SP,351300,COTIA,1707,5198960,216623.3333333333,32.24695131102841,32.27560611566197,47.73452634806483,24,0,32.83348977487805,7.443078374348516,3.5214511336910634,32.83348977487805,32.84794202581927,33.2304959701768,1.2091501635092887
SP,354280,RIBEIRA,26,79374,3307.25,33.03324878874748,29.139755694733548,157.92798483891346,15,9,32.75631818983546,3.295836866004329,3.5191676054225067,32.75631818983546,33.652462871572055,25.05281678413061,-23.5176046375545
SP,351015,CANITAR,38,116632,4859.666666666667,33.39019621198941,19.68373711832953,98.015192354815,16,8,32.58110981548803,3.6635616461296463,3.5139637009986737,32.58110981548803,33.2098774630907,29.781227885451493,-8.593574454316343
SP,355645,VARGEM GRANDE PAULISTA,338,1047590,43649.583333333336,32.923455995357294,27.72978345018248,71.44558228149559,24,0,32.26453097108602,5.82600010738045,3.504491693322496,32.26453097108602,32.33867501012249,32.45268482532565,0.5831600478192127
SP,353930,PIRASSUNUNGA,545,1690301,70429.20833333333,32.437659736857555,30.30470437170943,48.945448073329175,24,0,32.24277806142219,6.302618975744905,3.5038375423500403,32.24277806142219,32.28887666938997,31.98023351245694,-0.8142739700192927
SP,352830,MAGDA,25,77555,3231.458333333333,32.064789814457214,30.96828759130107,94.33962264150944,13,11,32.23518793114564,3.258096538021482,3.503609192093043,32.23518793114564,33.1825238203879,28.28904879543613,-12.241712826798036
SP,354870,SAO BERNARDO DO CAMPO,5933,18513165,771381.875,31.97291684763607,31.552810725272828,39.73093606588294,24,0,32.047464601541655,8.688453800850768,3.497944849332079,32.047464601541655,32.05173730970523,32.08662157319211,0.12218430424156745
SP,352390,ITU,1197,3741020,155875.83333333334,32.004223756584004,31.88430804081077,42.29378135573445,24,0,31.996621242334975,7.088408778675395,3.496405169628705,31.996621242334978,32.01781072744669,32.01490020359498,0.0571277858420262
SP,352260,ITAPIRA,526,1653625,68901.04166666667,32.05442211151104,30.396119867905757,57.20823798627002,24,0,31.80890467911407,6.267200548541362,3.4906999626642845,31.80890467911407,31.857325221974065,31.20836609313293,-1.8879574510324417
